,EXEC,IPC,INST,MEM,FREQ,L2MPI,INSTnom%,PhysIPC%,L3MPI,L2MISS,L3MISS,L3HIT,GT,Pred
1082,0.24426993551688694,0.5180834955671643,0.6591491318075756,0.6547938168396056,0.40501417057068806,0.021169163317507,0.24435753904320984,0.5179753406875622,0.13370114120570886,0.013522173913042253,0.3668094629164462,0.66552173913,1.07836298497,1.0716109416421078
858,0.8461820851688694,0.8771420674427862,0.35025662218175363,0.0021211510920133617,0.7470890375110255,0.12768440709607842,0.8469282774838329,0.876589275842786,0.00021102454302087572,0.2874419191916932,0.0021344362745111286,0.9999722222220001,1.0283540287000001,1.0333275275150928
344,0.9034742400073422,0.8277230866965175,0.3714234915582351,0.0021241401375761957,0.8453930688721427,0.009167590440420167,0.9041771423574367,0.8278712818885572,0.00020295082598061653,0.021517147001903165,0.00216756101376777,0.9956063829790001,1.17908817312,1.1249458206557517
268,0.38437172225697513,0.9914712153532339,0.3098591112455608,0.0025704158354986194,0.3000575277204891,0.001692597038815126,0.38464768623456785,0.9917555081731344,0.0007186256029489872,0.001729545454542519,0.0033401470588259852,0.9774,1.02022197513,1.0206099715455854
1398,0.3856411477555066,0.47060642732288566,0.6529173092726904,0.0035794118500888407,0.6342911770090076,0.9148307971848739,0.38594149705320385,0.47059298104079605,0.0015665330823465733,0.9182555282559834,0.007140500794924368,0.9999729729729999,1.03139047237,1.0442804457879002
496,0.3634810752496329,0.9372525129452737,0.32777985846500507,0.0023959030228633753,0.29998760054064266,0.0015628537129131652,0.3636216391313932,0.9373743527263683,0.0007018680342487856,0.0014796103896082004,0.0030326380552301714,0.975265306122,1.0093885953100001,1.0173171413627815
1113,0.905163974544787,0.7117744610298508,0.4321031667617022,0.0024062298603692773,0.9856321433056071,0.13801587301596638,0.9062071330584948,0.7113432835820896,0.00020478998032076107,0.3258234848492493,0.0022018750000008837,0.9999833333329999,1.19996302418,1.2105483689598298
1240,0.19086381919162998,0.5293532338308459,0.6515776590000236,0.6960958296360388,0.3132453884206876,0.017157471684313724,0.19107686015873016,0.5294397577333334,0.08822768137653463,0.009321620553341526,0.2157017263428792,0.734608695652,1.09149386519,1.0736200085933705
110,0.38457850100367114,0.9937049446666667,0.30921330792951407,0.0021502192069080828,0.29938156498501944,0.0014434345166638653,0.38488764112286883,0.9934206518427863,0.0005133040021082489,0.0014766233766218397,0.002401665666266472,0.98,1.01868583085,1.0209633498629298
143,0.45034040849045526,0.582937584800995,0.5272419727887602,0.0013343588272629785,0.5978734125589027,0.043554239877871145,0.4508043396928277,0.5830732700139304,0.0003081168010463482,0.05213481404945261,0.0016766711229960858,0.999727272727,1.01975779464,1.0244129640823922
1110,0.8418050378414098,0.8696900114825872,0.3534953104661497,0.004094031438482764,0.7496417780123312,0.1067819435467787,0.8429430651646089,0.8696708763870648,0.0003908946078268886,0.23415122377605987,0.003908993212679344,0.999884615385,1.04499536005,1.0406183137709701
