,EXEC,MEM,INST,L3MISS,INSTnom%,L3MPI,L2MPI,L3HIT,PhysIPC%,L2MISS,FREQ,IPC,GT,Pred
3092,0.41661767587693505,0.2582606166375801,0.3653734062234648,0.41178546224417806,0.4164705882352941,0.2768571428571429,0.036072289156626504,0.34702738810955247,0.6233644859813084,0.02471879286694102,0.33972719522591643,0.624512099921936,1.0387966784535232,1.031851064540557
793,0.21555947481873405,0.22517161140197794,0.3893589531867769,0.3853211009174313,0.21529411764705883,0.5045714285714289,0.0727710843373494,0.3623914495657981,0.5862928348909656,0.025925925925925925,0.18755328218243822,0.5870413739266198,1.0276700393912064,1.044682700025886
5682,0.41230648638056044,0.254432809773124,0.3655060043842873,0.4103740296400848,0.41333333333333333,0.27828571428571436,0.035698795180722886,0.34168336673346694,0.6233644859813084,0.024252400548696845,0.33631713554987214,0.624512099921936,1.0376431471926155,1.0320969387527883
2817,0.8850676072898295,0.19072862129144857,0.43904243768882184,0.3427134791813692,0.8852941176470588,0.1086428571428572,0.4345481927710843,0.9792084168336673,0.5198598130841121,0.6347736625514403,0.8644501278772377,0.5199063231850118,1.1354204529874723,1.1646212533096152
6647,0.9015285126396237,0.18439354275741715,0.43030228943645993,0.3490649258997884,0.9029411764705882,0.10907142857142861,0.5819277108433736,0.9859719438877756,0.5303738317757009,0.8600823045267489,0.8638107416879794,0.5327868852459017,1.1580769878039674,1.1949163711335355
380,0.6086615716245345,0.22501454333915075,0.24905276915760272,0.3906139731827806,0.6078431372549019,0.17928571428571433,0.022313253012048187,0.32064128256513025,0.9146417445482865,0.02242798353909465,0.3375959079283887,0.9164715066354412,1.041742436381869,1.0290925322249553
2127,0.8689006466784246,0.19872600349040145,0.44285191654078554,0.34191954834156685,0.8688235294117647,0.1083214285714286,0.5584337349397589,0.9854709418837676,0.5133177570093458,0.8117283950617284,0.8599744245524297,0.5140515222482436,1.142067151544203,1.160821389137279
5158,0.6090534979423867,0.24471785922047715,0.2481161284311732,0.42836979534227254,0.6094117647058824,0.19557142857142865,0.02527710843373494,0.34769539078156314,0.9190031152647973,0.02551440329218107,0.3371696504688832,0.9211553473848557,1.0255678288782784,1.0279950542662781
5159,0.5780913188320596,0.24456660849331016,0.2623814648289925,0.4255469301340863,0.5788235294117648,0.20614285714285718,0.025216867469879518,0.3096192384769539,0.8682242990654205,0.023978052126200276,0.3384484228473998,0.869633099141296,1.0156769001298145,1.0277323668496723
1548,0.6023907505388987,0.23954043048283896,0.2504964630462015,0.41460832745236426,0.6023529411764706,0.19157142857142864,0.0238433734939759,0.32064128256513025,0.909968847352025,0.023731138545953365,0.33631713554987214,0.9117876658860264,1.0291579437676923,1.0282791360847068
329,0.5855379188712522,0.2133275159976731,0.25770038984837657,0.3687367678193368,0.5858823529411765,0.1747142857142857,0.021939759036144577,0.3249832999331997,0.8838006230529595,0.021316872427983545,0.33674339300937767,0.8868071818891491,1.0196869313401296,1.0295467359078314
3181,0.5514403292181069,0.23946480511925544,0.42839879154078553,0.41284403669724784,0.5513725490196077,0.20700000000000007,0.1368674698795181,0.8710754843019373,0.5320872274143301,0.12578875171467763,0.5268542199488492,0.5339578454332553,1.0315061377548145,1.052894365234424
4139,0.5737801293356849,0.22093077370564287,0.26039475696967385,0.3835568101623149,0.5741176470588235,0.1841428571428572,0.022927710843373486,0.32030728122912494,0.8757009345794392,0.022002743484224967,0.3333333333333333,0.8774395003903201,1.0406739247952026,1.0291354405221675
5337,0.9047619047619047,0.14578534031413617,0.42828391899187856,0.3109562455892732,0.9052941176470589,0.09578571428571431,0.5042168674698795,0.9849699398797596,0.5317757009345794,0.7530864197530864,0.8650895140664963,0.5327868852459017,1.05018480316481,1.244215101355539
220,0.6133646874387614,0.22153577661431076,0.24712123839687483,0.37614678899082576,0.6133333333333333,0.17285714285714288,0.022277108433734934,0.34201736806947225,0.9208722741433024,0.022345679012345677,0.3384484228473998,0.9242779078844653,1.0312179303249556,1.0293340377302365
418,0.6094454242602392,0.23185573007562543,0.24816862307181872,0.40155257586450255,0.6101960784313725,0.18585714285714292,0.02304819277108434,0.3176352705410821,0.9196261682242991,0.0229355281207133,0.3371696504688832,0.9211553473848555,1.0147663272622105,1.028921992137893
2970,0.6086615716245345,0.24011634671320542,0.2486161858349876,0.4177840508115738,0.6094117647058822,0.19257142857142862,0.0236867469879518,0.3139612558450233,0.9161993769470407,0.02370370370370371,0.3375959079283887,0.9180327868852459,1.022953054588727,1.02836171497201
