,EXEC,L2MPI,MEM,L3MISS,L2MISS,INST,IPC,L3HIT,PhysIPC%,INSTnom%,L3MPI,FREQ,GT,Pred
6138,0.6272780717225163,0.013897590361445783,0.12029668411867368,0.21647847565278763,0.01448559670781893,0.239281850684046,0.9555035128805621,0.41482965931863724,0.9532710280373832,0.6282352941176471,0.09578571428571431,0.3343989769820972,1.04233125967736,1.036046256297042
5083,0.24534587497550459,0.08951807228915665,0.132129144851658,0.20501058574453074,0.03574759945130316,0.4382522501407678,0.5230288836846214,0.6469605878423513,0.522429906542056,0.24501960784313728,0.2364285714285715,0.2395566922421142,1.0914485561259786,1.060163866057453
2081,0.6004311189496375,0.08120481927710842,0.21431064572425834,0.31792519407198316,0.08024691358024691,0.4184363206807515,0.5448868071818891,0.8463593854375419,0.5448598130841121,0.6015686274509804,0.14900000000000005,0.560528559249787,1.0808676945567277,1.04069735340095
5315,0.9594356261022927,0.010240963855421685,0.16303897614892382,0.2695836273817926,0.01606310013717421,0.2352086343535182,0.9726775956284154,0.3490313961255844,0.9688473520249222,0.96,0.07914285714285715,0.5029838022165388,1.03567678093783,1.0313113869177002
5489,0.5949441504997061,0.01386144578313253,0.1310820244328098,0.197953422724065,0.013703703703703704,0.2523588060645334,0.9039812646370025,0.4338677354709419,0.902803738317757,0.5952941176470589,0.09214285714285717,0.3350383631713555,1.0254057966152677,1.0328544323996591
2311,0.5847540662355478,0.1274698795180723,0.1278766724840024,0.20148200423429785,0.12208504801097396,0.41411347101267787,0.5526932084309134,0.9362057448229792,0.550778816199377,0.5850980392156863,0.09714285714285717,0.5396419437340154,1.0548014839806938,1.0665664270022073
5165,0.97119341563786,0.008240963855421687,0.12367073880162886,0.20254057868736772,0.013155006858710563,0.23155854011254143,0.985167837626854,0.39478957915831664,0.9813084112149533,0.9725490196078431,0.05857142857142859,0.5025575447570332,1.0402326027777011,1.0331420573803152
3978,0.62708210856359,0.015771084337349393,0.15577312390924958,0.261467889908257,0.01628257887517147,0.24104522670752263,0.9476971116315378,0.3744154976619906,0.9454828660436139,0.627450980392157,0.11642857142857148,0.3371696504688832,1.027432964813959,1.033314674118475
1603,0.24573780129335682,0.06457831325301205,0.13805119255381038,0.21912491178546228,0.025912208504801103,0.39387702554243337,0.5870413739266198,0.5173680694722779,0.5853582554517134,0.24533333333333335,0.2541428571428572,0.21526001705029837,1.0201625832940342,1.0502869509827772
6179,0.5847540662355478,0.016879518072289157,0.1528272251308901,0.2625264643613268,0.01617283950617284,0.2581030614537893,0.8852459016393444,0.36706746826987313,0.8831775700934579,0.584313725490196,0.12600000000000003,0.33631713554987214,1.0292978705720226,1.033127862708228
199,0.5976876347246717,0.01431325301204819,0.12622454915648634,0.2247706422018349,0.014074074074074074,0.25168954040872715,0.9071038251366119,0.37140948563794257,0.905607476635514,0.5976470588235294,0.10528571428571432,0.3350383631713555,1.03349025245552,1.0340446862844457
2723,0.24769743288261806,0.08855421686746988,0.1615532286212915,0.2635850388143967,0.035884773662551446,0.4425745534481238,0.518345042935207,0.5561122244488979,0.5180685358255451,0.2476862745098039,0.3075714285714287,0.24424552429667518,1.0472464101568275,1.0580860462145232
4272,0.4350382128159906,0.021566265060240966,0.1529842931937173,0.22053634438955544,0.015377229080932786,0.3478531635781514,0.6557377049180328,0.43820975283901137,0.6545171339563863,0.43529411764705883,0.14242857142857146,0.3375959079283887,1.0401416822776604,1.0336834753805266
2051,0.5922006662747403,0.07999999999999997,0.11687550901687029,0.182074805928017,0.07818930041152264,0.40239931950840346,0.5698672911787666,0.9068136272545091,0.5666666666666665,0.5921568627450982,0.08614285714285716,0.5315430520034099,1.042184553868563,1.0584610863305912
2950,0.6249265138154028,0.014783132530120481,0.14857766143106463,0.23129851799576578,0.015411522633744856,0.24061615605860437,0.9508196721311476,0.4133266533066132,0.9439252336448598,0.6247058823529412,0.10200000000000004,0.3350383631713555,1.029221619392381,1.0327280675245716
2272,0.4350382128159906,0.021891566265060242,0.14341477603257713,0.21630204657727597,0.015569272976680386,0.3476669845416591,0.6557377049180328,0.4589178356713427,0.6557632398753893,0.43529411764705883,0.13971428571428576,0.3371696504688832,1.0441504469767382,1.0352506261557217
3781,0.5722124240642757,0.0803614457831325,0.1361140197789413,0.21065631616090338,0.07613168724279835,0.40204653729955847,0.5683060109289617,0.8927855711422845,0.5672897196261681,0.5725490196078431,0.10271428571428576,0.5132139812446718,1.0475542637866893,1.0546600089915668
6573,0.25592788555751517,0.06891566265060241,0.1083885980221059,0.16302046577275942,0.02853223593964335,0.40797572055483267,0.5589383294301328,0.6536406145624584,0.5579439252336448,0.2551372549019608,0.18300000000000005,0.23273657289002556,1.061213847616131,1.055641777020871
5976,0.4377816970409563,0.020325301204819277,0.1456777196044212,0.20853916725476365,0.014513031550068587,0.34568253527465637,0.6604215456674474,0.43687374749499,0.6598130841121497,0.4384313725490196,0.13428571428571434,0.3371696504688832,1.0216653738606079,1.0334046561283017
3117,0.8775230256711737,0.6036144578313254,0.0960407213496219,0.14043754410726889,0.8696844993141288,0.4388519637462237,0.5199063231850118,0.9956579826319305,0.5196261682242991,0.8784313725490197,0.04474285714285716,0.8584825234441604,1.1766711700746055,1.2286638279595283
5877,0.9318048206937095,0.5882530120481927,0.06936780104712044,0.14499823570924494,0.9094650205761317,0.41114257366138623,0.5562060889929743,0.9957414829659319,0.5551401869158878,0.9329411764705882,0.04347857142857144,0.8529411764705882,1.5743393056667168,1.313764709312851
2480,0.6266901822457377,0.014385542168674699,0.1446858638743456,0.22441778405081167,0.015082304526748972,0.2410286000921262,0.9484777517564403,0.4193386773547094,0.9439252336448598,0.6270588235294117,0.09857142857142859,0.33695652173913043,1.03820170349778,1.0328844913454946
4977,0.9041740152851265,0.3996385542168674,0.15763234438627113,0.2681721947776995,0.598079561042524,0.4257334335270752,0.53551912568306,0.9836339345357383,0.5336448598130842,0.9043137254901961,0.08285714285714288,0.8610400682011935,1.098078662055207,1.119560869149359
3063,0.25671173819321963,0.07626506024096386,0.13809773123909252,0.2127734650670431,0.031742112482853226,0.42522357043771,0.537080405932865,0.6182364729458918,0.535202492211838,0.2572549019607843,0.2394285714285715,0.24381926683716965,1.0365877484751982,1.056228748409721
495,0.9731530472271213,0.008289156626506021,0.13214659685863878,0.20959774170783352,0.013141289437585734,0.23193634679030065,0.985167837626854,0.3734134936539746,0.9813084112149533,0.9741176470588235,0.06085714285714287,0.5034100596760444,1.0348294776557059,1.032094525091696
5391,0.5867136978248089,0.10542168674698796,0.14670738801628858,0.23006351446718426,0.1017832647462277,0.4107123343198389,0.5558157689305229,0.9118236472945892,0.5551401869158878,0.5866666666666666,0.11014285714285715,0.537084398976982,1.0445692710500405,1.0577602498595915
6550,0.622378992749363,0.016662650602409637,0.1730343222803956,0.287226534932957,0.017229080932784635,0.24130972403017173,0.9461358313817331,0.35303941215764856,0.9445482866043613,0.6227450980392157,0.12785714285714286,0.3350383631713555,1.0280895003830879,1.032479248892782
5168,0.630217519106408,0.01306024096385542,0.1260034904013962,0.19865913902611154,0.013443072702331964,0.23905425510756242,0.9555035128805621,0.4188376753507014,0.9529595015576322,0.6298039215686274,0.08914285714285718,0.33631713554987214,1.02002156968114,1.0340131062570679
752,0.43111894963746816,0.02475903614457831,0.14623036649214663,0.26040931545518703,0.01736625514403292,0.3493737529497729,0.6541764246682279,0.42050768203072814,0.6526479750778815,0.43137254901960775,0.17157142857142862,0.33589087809036655,1.036720856488875,1.0379177330959226
47,0.8547912992357436,0.5831325301204818,0.1471320535194881,0.22794636556104453,0.823045267489712,0.4456680635415653,0.5136612021857925,0.9913159652638609,0.5118380062305297,0.8549019607843138,0.0742857142857143,0.8478260869565216,1.1770524029744265,1.1430455723135968
5664,0.39702135998432286,0.0631566265060241,0.9086678301337988,0.5356386732533522,0.04282578875171468,0.7279109204848448,0.35846994535519133,0.44288577154308617,0.35794392523364477,0.3976470588235294,0.4024285714285715,0.6423699914748509,1.0755490162770232,1.0792657042880223
1722,0.43268665490887726,0.024843373493975897,0.14792902850494474,0.26499647141848987,0.017283950617283952,0.3509041622012191,0.652615144418423,0.41249164996659987,0.6492211838006229,0.43215686274509807,0.17571428571428577,0.3384484228473998,1.0299470988864556,1.0379418212130238
6271,0.5851459925533998,0.10048192771084336,0.1430599185573008,0.2247706422018349,0.09684499314128943,0.408421672905779,0.5589383294301328,0.9091516366065463,0.5579439252336449,0.5858823529411765,0.1078571428571429,0.5328218243819267,1.0209069656582206,1.0576321136719369
1987,0.9022143836958652,0.46771084337349395,0.1102036067481094,0.19195483415666906,0.6954732510288066,0.4240115591750953,0.5386416861826697,0.9909819639278559,0.5373831775700934,0.9027450980392157,0.05971428571428574,0.8533674339300938,1.2354714277824972,1.194207728889223
988,0.6298255927885558,0.014722891566265058,0.14858057009889475,0.2431192660550459,0.015281207133058984,0.23953558118508395,0.9523809523809524,0.37675350701402816,0.9507788161993768,0.6313725490196078,0.1078571428571429,0.33674339300937767,1.028333921792183,1.0330115317317219
1919,0.6055261610817166,0.012927710843373495,0.11773705642815593,0.18136908962597045,0.012839506172839507,0.2505867932671559,0.9102263856362217,0.4472277889111556,0.9087227414330216,0.6062745098039215,0.08428571428571432,0.3384484228473998,1.0373901634016731,1.03390035733613
5768,0.6372721928277483,0.01180722891566265,0.11680337405468301,0.18348623853211016,0.012249657064471878,0.23696263931369385,0.9633099141295861,0.405811623246493,0.9626168224299065,0.6376470588235295,0.08157142857142859,0.3371696504688832,1.0375024704352829,1.0340408312552503
2408,0.6310013717421126,0.014012048192771078,0.1285340314136126,0.22794636556104458,0.01448559670781893,0.23882009714458483,0.9570647931303669,0.38009352037408145,0.9532710280373832,0.6313725490196078,0.10171428571428573,0.33631713554987214,1.0329477342325293,1.0348392706338374
