,EXEC,PhysIPC%,L3MISS,L2MISS,MEM,L3HIT,FREQ,L2MPI,IPC,INSTnom%,INST,L3MPI,GT,Pred
1062,0.4232804232804233,0.6404984423676012,0.3352152434721243,0.020329218106995887,0.21586969168121004,0.36038744154976615,0.33631713554987214,0.029108433734939754,0.6416861826697894,0.4235294117647059,0.3560392798156985,0.22085714285714292,1.0307098547135292,1.0345400673138574
14,0.39153439153439146,0.3716510903426792,0.5007057163020467,0.03987654320987654,0.8702734147760327,0.3837675350701402,0.6376811594202897,0.05634939759036146,0.37267759562841535,0.3921568627450981,0.7354074314594685,0.3741428571428573,1.067677768120128,1.0575354264719383
4039,0.5831863609641387,0.8813084112149532,0.35497529992942845,0.02074074074074074,0.20852239674229206,0.3319973279893119,0.33631713554987214,0.02177108433734939,0.8821233411397347,0.5835294117647059,0.2587415007679052,0.17171428571428574,1.0232545484682,1.0260533085050225
2111,0.5557515187144816,0.5345794392523365,0.35991531404375454,0.17681755829903978,0.21419429901105297,0.9211756847027387,0.5289855072463767,0.19493975903614452,0.53551912568306,0.5568627450980393,0.4266106258453526,0.18328571428571427,1.0490605750746995,1.0394774014602532
4051,0.5510484029002547,0.5246105919003116,0.35321100917431214,0.10425240054869682,0.21048865619546253,0.8657314629258518,0.5336743393009377,0.11506024096385539,0.5261514441842311,0.5505882352941176,0.43445628835812955,0.1801428571428572,1.1213070472633784,1.086361955146387
2345,0.9606114050558495,0.9657320872274142,0.31651376146789,0.018984910836762688,0.1900058173356603,0.34368737474949895,0.5063938618925832,0.011939759036144576,0.9664324746291959,0.9607843137254903,0.23647499080676915,0.09171428571428575,1.0397719976316364,1.0286398732267088
3605,0.9602194787379973,0.9657320872274142,0.3669724770642203,0.021330589849108367,0.21295520651541602,0.3276553106212425,0.5051150895140665,0.013481927710843373,0.9695550351288057,0.9607843137254903,0.23585515877328347,0.10685714285714287,1.0242442323828815,1.0350100055513387
4073,0.2390750538898687,0.5457943925233644,0.32286520818630926,0.031646090534979424,0.19407213496218734,0.4789579158316633,0.22421142369991476,0.08216867469879516,0.548009367681499,0.23858823529411766,0.4204055957686209,0.385857142857143,1.0221943270518918,1.0355697323219903
5290,0.6200274348422496,0.9323987538940811,0.3246294989414256,0.019286694101508916,0.19171029668411874,0.3453573814295257,0.3375959079283887,0.01897590361445783,0.9352068696330993,0.6196078431372548,0.24426066262721735,0.14714285714285716,1.0335831934675817,1.024641070994627
362,0.4232804232804233,0.6417445482866044,0.31227946365561055,0.01982167352537723,0.20268179173938336,0.38944555778223117,0.33461210571184996,0.028819277108433735,0.644808743169399,0.4235294117647059,0.35482216612175654,0.2094285714285715,1.0205106004862583,1.0285992500751302
3602,0.418185381148344,0.6295950155763239,0.37791107974594224,0.022592592592592588,0.23811518324607336,0.34802939211756845,0.3375959079283887,0.03327710843373494,0.6307572209211555,0.41960784313725485,0.36197892761853856,0.256,1.0302778184283696,1.0246901474155816
4259,0.5902410346854791,0.8894080996884737,0.3098094565984475,0.01843621399176955,0.18341942990110535,0.3463593854375417,0.3371696504688832,0.019072289156626503,0.8914910226385636,0.5898039215686274,0.2561259012854967,0.1478571428571429,1.0313208274166117,1.023715099183951
2176,0.42288849696257114,0.6376947040498442,0.3348623853211011,0.02045267489711934,0.21766143106457245,0.36506346025384095,0.3371696504688832,0.029385542168674696,0.6385636221701796,0.42274509803921584,0.357389374592898,0.22171428571428575,1.0303660126018097,1.032021701485223
3760,0.6133646874387614,0.9302180685358258,0.3567395906845449,0.02185185185185185,0.20956951716114022,0.3637274549098196,0.3354646206308611,0.02155421686746987,0.9305230288836845,0.6133333333333333,0.24508312111481947,0.16214285714285717,1.0332645444404067,1.039971861077075
6810,0.6227709190672153,0.9417445482866044,0.29922371206774884,0.01773662551440329,0.17930773705642816,0.34502338009352035,0.33589087809036655,0.017469879518072287,0.9445745511319282,0.6227450980392157,0.24180823139022342,0.13600000000000007,1.0276972212252296,1.0252450267427982
5345,0.961395257691554,0.9688473520249222,0.3655610444601271,0.020946502057613166,0.21157068062827228,0.32030728122912494,0.5034100596760444,0.01325301204819277,0.9742388758782202,0.9615686274509805,0.2351327562165932,0.10642857142857147,1.023647667258292,1.0326716198400412
4083,0.23319615912208505,0.5445482866043613,0.34333098094566,0.033635116598079565,0.20566026759744044,0.46760187040748163,0.21867007672634273,0.08843373493975902,0.546448087431694,0.23380392156862748,0.41988922457200406,0.4154285714285715,1.0329308493094178,1.0295477970427998
4608,0.6137566137566138,0.924922118380062,0.3712067748764997,0.021467764060356657,0.21554973821989531,0.3259853039412157,0.3375959079283887,0.021216867469879514,0.9242779078844653,0.6149019607843138,0.24663630060366407,0.16900000000000004,1.0285222139183143,1.034787866811949
5698,0.6251224769743289,0.9436137071651088,0.2971065631616091,0.017750342935528123,0.1783420593368238,0.3486973947895792,0.33674339300937767,0.017433734939759034,0.9445745511319282,0.6250980392156863,0.24145190179697704,0.13471428571428573,1.0395507240476545,1.0275621234111885
5478,0.6137566137566136,0.9274143302180683,0.3585038814396614,0.020836762688614542,0.19963932518906344,0.3276553106212425,0.3354646206308611,0.02067469879518072,0.9320843091334895,0.6141176470588235,0.2454577073373661,0.16400000000000003,1.0337932485262953,1.0311773821777246
1274,0.38918283362727807,0.3710280373831776,0.5052928722653494,0.03979423868312757,0.8807446189645145,0.39044756179024714,0.6338448422847398,0.05722891566265059,0.371272443403591,0.3898039215686274,0.7345639877737361,0.38128571428571445,1.0826972219037878,1.0690068291125616
4842,0.42014501273760524,0.6323987538940811,0.3669724770642203,0.022071330589849107,0.2363641652123328,0.3510354041416166,0.3375959079283887,0.031867469879518065,0.6323185011709603,0.4196078431372549,0.3605140904363331,0.24414285714285727,1.0244038851689112,1.0323761082993625
3791,0.5584950029394473,0.5442367601246105,0.3390966831333805,0.13470507544581617,0.20075625363583485,0.902805611222445,0.5217391304347826,0.1453012048192771,0.546448087431694,0.5584313725490195,0.419151827837845,0.16857142857142865,1.0452469787854357,1.0738863322309502
1057,0.892416225749559,0.5336448598130842,0.3309809456598448,0.8559670781893004,0.18643979057591625,0.9873079492317968,0.8499573742540495,0.5759036144578312,0.53551912568306,0.8925490196078435,0.425417719958074,0.10342857142857145,1.14969029537413,1.1215943615609358
1472,0.4193611601019008,0.6305295950155765,0.36944248412138336,0.022606310013717417,0.2351774287376382,0.36172344689378755,0.3371696504688832,0.03315662650602409,0.6323185011709603,0.41960784313725485,0.3618475520975903,0.2501428571428573,1.0216230265772142,1.0275042080342454
2424,0.3934940231236528,0.3710280373831776,0.49611856033874396,0.03949245541838134,0.8766724840023271,0.3891115564462258,0.6419437340153452,0.05550602409638554,0.371272443403591,0.39372549019607844,0.7342417757636793,0.3682857142857144,1.0825315816885697,1.0745265873639287
1380,0.6262982559278855,0.9433021806853583,0.29922371206774884,0.018244170096021948,0.1788830715532287,0.3623914495657981,0.3375959079283887,0.017927710843373492,0.9445745511319282,0.6258823529411766,0.24135860656428398,0.13571428571428576,1.0284933141591734,1.0278997948111357
6108,0.6114050558495003,0.9305295950155762,0.31933662667607626,0.019012345679012346,0.19209424083769638,0.34335337341349365,0.3337595907928389,0.019,0.9336455893832941,0.611764705882353,0.2446362343588485,0.14700000000000005,1.0307280911421497,1.0251324070580985
2114,0.3838918283362728,0.39556074766355137,0.4903846153846156,0.03623456790123457,0.861692844677138,0.407064128256513,0.565537084398977,0.05521084337349397,0.39637002341920374,0.38411764705882356,0.6607560513474482,0.3594642857142858,1.0880741639731952,1.0934806423165728
3876,0.4209288653733097,0.6348909657320873,0.355681016231475,0.02175582990397805,0.2283304246655033,0.3613894455577821,0.33631713554987214,0.031385542168674695,0.6370023419203749,0.42039215686274506,0.3585235293341601,0.23657142857142868,1.0296387677315468,1.0325098758771842
6710,0.6247305506564765,0.9423676012461056,0.3126323218066338,0.01843621399176955,0.18570680628272251,0.3403473613894455,0.3371696504688832,0.018012048192771083,0.9445745511319282,0.6250980392156863,0.2416426822074045,0.14071428571428574,1.0293346316818976,1.0253587749361301
4558,0.6035665294924554,0.9246105919003116,0.3235709244883557,0.01936899862825789,0.1928272251308901,0.3496993987975952,0.33205456095481667,0.019638554216867467,0.9242779078844653,0.6047058823529412,0.24679584678959615,0.15100000000000002,1.0326264512826713,1.025103307854712
3070,0.6121889084852048,0.9227414330218067,0.37579393083980256,0.021632373113854596,0.21436881908086097,0.3216432865731463,0.3371696504688832,0.02131325301204819,0.9242779078844653,0.6125490196078431,0.24699187707006154,0.17071428571428574,1.0395868874228784,1.0409895331042458
833,0.23162845385067607,0.5915887850467288,0.3292166549047284,0.026721536351165975,0.19751599767306585,0.40013360053440217,0.20247229326513214,0.07103614457831324,0.5932864949258392,0.2311372549019608,0.39233815062148475,0.4040000000000001,1.0144575798407445,1.0181638994343354
1082,0.41740152851263956,0.6292834890965732,0.356739590684545,0.021906721536351165,0.23038976148923798,0.3623914495657981,0.3371696504688832,0.0318433734939759,0.6307572209211555,0.4180392156862745,0.3626942196253379,0.23871428571428582,1.0391848387730438,1.0346987627554585
6502,0.4221046443268665,0.6364485981308411,0.355681016231475,0.021632373113854596,0.22494473531122755,0.36072144288577157,0.33674339300937767,0.03126506024096385,0.6385636221701796,0.4219607843137255,0.3581159922737854,0.23685714285714293,1.0374905949787792,1.0323684242262159
3072,0.4170096021947874,0.6274143302180684,0.38108680310515186,0.023058984910836765,0.24061082024432812,0.3533734134936539,0.3375959079283887,0.03362650602409638,0.6291959406713504,0.41725490196078435,0.3633514201399849,0.2565714285714286,1.02666600926282,1.035003592543096
4764,0.38741916519694297,0.38785046728971956,0.47979887085391687,0.03616255144032922,0.8337696335078536,0.41207414829659317,0.5879156010230179,0.05442469879518071,0.3888758782201405,0.38823529411764707,0.682137563119934,0.3490714285714287,1.0826874067024046,1.0760272581777617
4466,0.42445620223398,0.6423676012461059,0.30945659844742424,0.019190672153635114,0.20093659104130313,0.37341349365397464,0.3354646206308611,0.02757831325301205,0.6432474629195941,0.424313725490196,0.3549401910937539,0.2051428571428572,1.0343340294557308,1.03277539002519
5521,0.5686850872036058,0.5389408099688472,0.30204657727593515,0.14773662551440328,0.18317044793484585,0.9211756847027387,0.536231884057971,0.15698795180722894,0.5402029664324746,0.5694117647058824,0.4227292661533965,0.1485714285714286,1.0467012763779682,1.0618146546733929
4847,0.8743876151283557,0.5133956386292835,0.35744530698659155,0.8641975308641975,0.20905177428737642,0.9859719438877756,0.8648763853367434,0.5963855421686747,0.5152224824355974,0.875294117647059,0.4443264733026751,0.11342857142857145,1.0726698826171912,1.099338654552799
3764,0.3830099941211052,0.39579439252336446,0.470800988002823,0.035226337448559665,0.8516579406631765,0.41658316633266534,0.5645780051150895,0.054009036144578304,0.3964871194379392,0.3835294117647059,0.6647284353704632,0.3446785714285715,1.0888816056352313,1.0832544103096335
842,0.4271996864589456,0.6395638629283489,0.31051517290049413,0.0199039780521262,0.20465386852821413,0.3937875751503006,0.33930093776641096,0.02790361445783132,0.6401249024199843,0.42666666666666675,0.3563427297921701,0.20042857142857148,1.0510839453982297,1.0367971147305477
3053,0.23946698020772095,0.5454828660436136,0.250529287226535,0.03172839506172839,0.15600930773705649,0.5307281229124916,0.22506393861892585,0.08132530120481926,0.548009367681499,0.23960784313725492,0.42107736612427343,0.3040000000000001,1.0318984797141693,1.050254490136565
4618,0.6149323927101705,0.9311526479750778,0.32745236414961193,0.019355281207133063,0.18610238510762075,0.3410153640614562,0.33631713554987214,0.019325301204819276,0.9320843091334895,0.6156862745098041,0.24500132666319724,0.15071428571428575,1.02879209663282,1.0267451206495437
6815,0.964922594552224,0.9626168224299065,0.29569513055751595,0.01886145404663923,0.17777196044211757,0.39211756847027385,0.5080988917306053,0.011771084337349396,0.9664324746291959,0.9654901960784313,0.23629601523460442,0.08500000000000002,1.028268106439732,1.0164114498618355
