,EXEC,MEM,FREQ,L2MISS,L3MISS,INST,INSTnom%,L3HIT,PhysIPC%,L3MPI,L2MPI,IPC,GT,Pred
5379,0.2688666109715956,0.8944861259972827,0.4578043912172456,0.026157224418102767,0.6289480167524021,0.676183030544522,0.2690078037909699,0.5272757697459839,0.3615948670944088,0.1870821394460363,0.03823863636363636,0.3617737003059633,1.3294133883200001,1.281292450630439
2379,0.16499582289055972,0.4750446588068864,0.2569580838323353,0.018308300395256917,0.26601626016260166,0.6185797251853288,0.16508361204013378,0.781726907630522,0.34335472043996335,0.13715377268385864,0.05381818181818181,0.3438532110091743,0.9905214045749999,1.0354609022350012
2559,0.2053188526875522,0.5006788138622724,0.3358083832335329,0.02168203776898551,0.321359940872136,0.6480836392205714,0.20576923076923076,0.7583668005351405,0.34356859150595787,0.15369309137225404,0.05087121212113636,0.3437308868499999,1.0791482853399998,1.056810235429119
4947,0.2723475355054302,0.8759378349413633,0.4769660678639521,0.025656565656574436,0.5575511209652624,0.6946082193579497,0.27229654403511705,0.5993975903614458,0.33455545371219064,0.202801655523639,0.04429924242431818,0.33516819571880735,1.22047053174,1.1811814492899673
2650,0.42121971595655805,0.49077527688477696,0.3470179640718563,0.012222397891963109,0.2892239467849224,0.32754006416678283,0.4214046822742475,0.6058232931726908,0.6923923006416133,0.051671442215854825,0.01132272727272727,0.6944954128440366,1.0526893592,1.0386375027307129
3919,0.28922305764411027,0.5147088245803911,0.3449101796407186,0.013770750988142292,0.29155949741315595,0.47335980106965525,0.28896321070234116,0.6584337349397591,0.4571952337305225,0.07618433619866286,0.018118181818181818,0.4577064220183486,1.03692564006,1.0388142570072578
4036,0.3309663046507936,0.5161218292249075,0.44327345309413174,0.014975845410619236,0.30736634639024396,0.5348377765808564,0.3313823857307692,0.6646586345381527,0.43324167430522453,0.0745702005730659,0.017863636363636363,0.4341743119266055,1.04705454676,1.086312601489826
1817,0.2887218045112782,0.4941264737407982,0.343377245508982,0.013322793148880106,0.2682631189948263,0.47329166946596846,0.288628762541806,0.6775100401606425,0.4584784601283226,0.07207258834765998,0.018009090909090905,0.4588073394495412,1.04456887803,1.0343566456053868
3486,0.2902255639097744,0.495602000714718,0.34778443113772456,0.0131699604743083,0.2727568366592757,0.4766408701147906,0.2903010033444816,0.6718875502008033,0.4590284142988085,0.07270296084049666,0.017518181818181815,0.4594495412844037,1.0248018081899999,1.0398311586820301
7928,0.2882205513784461,0.5063808503038608,0.34740119760479043,0.012627140974967062,0.2492830746489283,0.4787371686215598,0.2882943143812709,0.680722891566265,0.45664527956003664,0.06447468958930277,0.016854545454545452,0.4570642201834862,1.05001949425,1.0326758998984586
7248,0.9111319966583123,0.30499955341204177,0.9988023952095809,0.18468379446640318,0.13924611973392462,0.4347248776255212,0.9122073578595318,0.9917168674698795,0.47983501374885423,0.011768744030563515,0.08579545454545454,0.4801605504587156,1.58338035651,1.591749315990612
6394,0.6484544695071011,0.42227581279043314,0.4593053892215569,0.022766798418972334,0.25117516629711756,0.28111246251604644,0.6491638795986622,0.8016064257028113,0.7450045829514207,0.03086914995224451,0.014881818181818177,0.7458715596330274,1.13379382112,1.0922005832966946
4316,0.16591478696741854,0.4735191139694439,0.25523353293413176,0.020642951251646904,0.27367331855136734,0.610603876282534,0.16581939799331105,0.7748995983935744,0.3461044912923923,0.13839541547277937,0.056227272727272716,0.34651376146788987,1.02656131157,1.0331561528936153
4046,0.44667223614619883,0.49642729546284264,0.4453493013968863,0.014109793588063241,0.2925597437797487,0.39615586611360115,0.4473244147157191,0.6347054886214859,0.6278643446379469,0.050254695956781274,0.012378787878795454,0.629816513761468,1.03604332091,1.0873090962399292
