,EXEC,L2MISS,L3MISS,L3MPI,INST,PhysIPC%,L3HIT,IPC,INSTnom%,MEM,FREQ,L2MPI,GT,Pred
155,0.4166666666666667,0.023877876106186236,0.008439868439862722,0.006635491606719424,0.27393676262295596,0.8538647342971014,0.9933333333329999,0.8544685990326087,0.41644444444400003,0.014438553081173559,0.28156151520951894,0.025374899759444815,1.01856581264,1.0155241745781374
612,0.30106666666666665,0.04320955752210859,0.3631746031746032,0.3819856115107914,0.5903565443995098,0.47550724637681163,0.8634,0.4758695652173913,0.30093333333333333,0.5849416755037117,0.4371985336675913,0.06322373696875028,1.09778436808,1.1008017604710756
375,0.3006666666666667,0.18015929203533443,0.026452166452166456,0.02860431654676259,0.38248505621524576,0.611231884057971,0.9975,0.6105072463768116,0.30133333333333334,0.02493460586779781,0.283860698437089,0.26216920609473227,1.0313916492200002,0.9993382984736922
64,0.35133333333333333,0.021681921618183473,0.007729362015083656,0.007235354573482014,0.3231714630512914,0.7230848861282609,0.993285714286,0.7230848861268117,0.35123809523866667,0.011246780790781195,0.2802982277225428,0.02743613243214412,1.00968517498,1.0194089735540128
409,0.33511111111133335,0.022736283185843274,0.017388817388760188,0.01697841726618705,0.3392420904851904,0.6888888888891306,0.9856666666670001,0.6896135265688407,0.335555555556,0.0339625309296147,0.2805003537200345,0.02997594226145147,1.0270068164200001,1.0167573377268182
15,0.274277777778,0.2794513274336356,0.006533676533676534,0.007827338129496403,0.42660699549261466,0.54806763285,0.99975,0.5477053140108696,0.274444444444,0.04820195593259809,0.28872435526353896,0.4522854851633729,1.0382519501799998,1.026438155427766
12,0.33744444444466665,0.02814424778761127,0.005880165880171601,0.0057793764988057555,0.33741807976557,0.6928140096615942,0.996166666667,0.6929347826086958,0.3376666666666666,0.0470425356427006,0.2807656440924056,0.03737971130703183,1.01455019061,1.0084640266273102
489,0.4325555555553333,0.0221150442477904,0.008785928785928787,0.006700239808158273,0.26336316892020567,0.88768115942029,0.9925,0.8870772946847827,0.43222222222266665,0.010929657122658185,0.2812077947133779,0.022764635124295416,1.0151403129899998,1.0170528505098233
254,0.35541666666666666,0.4444247787609046,0.0067417417417417426,0.00616726618705036,0.4863637667503504,0.48070652173913053,1.0,0.4814311594202899,0.35566666666666663,0.009731353835277482,0.42645427358656124,0.5485164394549111,1.00835324745,1.0393643858439376
303,0.4175,0.02107433628317838,0.010227370227370228,0.00807913669064748,0.2728101538082382,0.855072463768116,0.991,0.8559782608695652,0.41733333333333333,0.01699540473665606,0.28094250434100676,0.022472935044114864,0.986184195773,1.0146999338750917
299,0.63,0.02891150442476852,0.010025740025740026,0.005194244604316547,0.36031751796261763,0.65,0.9935,0.6494565217391305,0.63,0.01727112053729233,0.5587015242135602,0.020253608660794006,0.998032507147,1.031430934480565
75,0.31904761904733336,0.024644753476589506,0.009724826867679108,0.009938335046244603,0.35501740868888737,0.6584886128362318,0.992714285714,0.6583850931666667,0.319047619048,0.01941524011513609,0.27938866073170776,0.034024515981220534,1.0104134231100002,1.0215024601699652
